| end of split   3 /  3 | epoch  30 | time:  7.99s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0195
| end of split   1 /  3 | epoch  31 | time:  7.98s | valid loss  1.25 | valid ppl     3.49 | learning rate 0.0195
| end of split   2 /  3 | epoch  31 | time:  0.90s | valid loss  1.25 | valid ppl     3.49 | learning rate 0.0195
| end of split   3 /  3 | epoch  31 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0195
| end of split   1 /  3 | epoch  32 | time:  0.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0195
| end of split   2 /  3 | epoch  32 | time:  2.95s | valid loss  1.26 | valid ppl     3.51 | learning rate 0.0195
| end of split   3 /  3 | epoch  32 | time:  7.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0195
| end of split   1 /  3 | epoch  33 | time:  2.94s | valid loss  1.25 | valid ppl     3.51 | learning rate 0.0195
| end of split   2 /  3 | epoch  33 | time:  0.89s | valid loss  1.25 | valid ppl     3.51 | learning rate 0.0195
| end of split   3 /  3 | epoch  33 | time:  7.93s | valid loss  1.25 | valid ppl     3.49 | learning rate 0.0195
| end of split   1 /  3 | epoch  34 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0195
| end of split   2 /  3 | epoch  34 | time:  7.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   3 /  3 | epoch  34 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   1 /  3 | epoch  35 | time:  8.04s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   2 /  3 | epoch  35 | time:  2.96s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   3 /  3 | epoch  35 | time:  0.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   1 /  3 | epoch  36 | time:  7.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   2 /  3 | epoch  36 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   3 /  3 | epoch  36 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   1 /  3 | epoch  37 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   2 /  3 | epoch  37 | time:  7.96s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   3 /  3 | epoch  37 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0049
| end of split   1 /  3 | epoch  38 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
| end of split   2 /  3 | epoch  38 | time:  2.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
| end of split   3 /  3 | epoch  38 | time:  7.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
| end of split   1 /  3 | epoch  39 | time:  2.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
| end of split   2 /  3 | epoch  39 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
| end of split   3 /  3 | epoch  39 | time:  7.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
