| end of split   1 /  1 | epoch  83 | time:  0.59s | valid loss  1.66 | valid ppl     5.27 | learning rate 5.0000
| end of split   1 /  1 | epoch  84 | time:  0.60s | valid loss  1.70 | valid ppl     5.46 | learning rate 5.0000
| end of split   1 /  1 | epoch  85 | time:  0.60s | valid loss  1.68 | valid ppl     5.34 | learning rate 5.0000
| end of split   1 /  1 | epoch  86 | time:  0.60s | valid loss  1.67 | valid ppl     5.31 | learning rate 5.0000
| end of split   1 /  1 | epoch  87 | time:  0.60s | valid loss  1.68 | valid ppl     5.37 | learning rate 5.0000
| end of split   1 /  1 | epoch  88 | time:  0.54s | valid loss  1.65 | valid ppl     5.23 | learning rate 5.0000
| end of split   1 /  1 | epoch  89 | time:  0.54s | valid loss  1.65 | valid ppl     5.19 | learning rate 5.0000
| end of split   1 /  1 | epoch  90 | time:  0.54s | valid loss  1.70 | valid ppl     5.45 | learning rate 5.0000
| end of split   1 /  1 | epoch  91 | time:  0.54s | valid loss  1.68 | valid ppl     5.36 | learning rate 5.0000
| end of split   1 /  1 | epoch  92 | time:  0.54s | valid loss  1.72 | valid ppl     5.59 | learning rate 5.0000
| end of split   1 /  1 | epoch  93 | time:  0.54s | valid loss  1.66 | valid ppl     5.26 | learning rate 1.2500
| end of split   1 /  1 | epoch  94 | time:  0.59s | valid loss  1.65 | valid ppl     5.20 | learning rate 1.2500
| end of split   1 /  1 | epoch  95 | time:  0.60s | valid loss  1.64 | valid ppl     5.15 | learning rate 1.2500
| end of split   1 /  1 | epoch  96 | time:  0.76s | valid loss  1.63 | valid ppl     5.09 | learning rate 1.2500
| end of split   1 /  1 | epoch  97 | time:  0.53s | valid loss  1.63 | valid ppl     5.12 | learning rate 1.2500
| end of split   1 /  1 | epoch  98 | time:  0.53s | valid loss  1.63 | valid ppl     5.13 | learning rate 1.2500
| end of split   1 /  1 | epoch  99 | time:  0.54s | valid loss  1.63 | valid ppl     5.10 | learning rate 1.2500
| end of split   1 /  1 | epoch 100 | time:  0.54s | valid loss  1.64 | valid ppl     5.14 | learning rate 1.2500
| end of split   1 /  1 | epoch 101 | time:  0.54s | valid loss  1.63 | valid ppl     5.12 | learning rate 1.2500
| end of split   1 /  1 | epoch 102 | time:  0.53s | valid loss  1.64 | valid ppl     5.14 | learning rate 1.2500
| end of split   1 /  1 | epoch 103 | time:  0.60s | valid loss  1.63 | valid ppl     5.11 | learning rate 1.2500
| end of split   1 /  1 | epoch 104 | time:  0.59s | valid loss  1.63 | valid ppl     5.12 | learning rate 1.2500
| end of split   1 /  1 | epoch 105 | time:  0.78s | valid loss  1.63 | valid ppl     5.09 | learning rate 1.2500
| end of split   1 /  1 | epoch 106 | time:  0.60s | valid loss  1.63 | valid ppl     5.12 | learning rate 1.2500
| end of split   1 /  1 | epoch 107 | time:  0.83s | valid loss  1.62 | valid ppl     5.08 | learning rate 1.2500
| end of split   1 /  1 | epoch 108 | time:  0.65s | valid loss  1.63 | valid ppl     5.11 | learning rate 1.2500
| end of split   1 /  1 | epoch 109 | time:  0.65s | valid loss  1.63 | valid ppl     5.09 | learning rate 1.2500
| end of split   1 /  1 | epoch 110 | time:  0.71s | valid loss  1.62 | valid ppl     5.07 | learning rate 1.2500
| end of split   1 /  1 | epoch 111 | time:  0.60s | valid loss  1.63 | valid ppl     5.09 | learning rate 1.2500
| end of split   1 /  1 | epoch 112 | time:  0.55s | valid loss  1.63 | valid ppl     5.09 | learning rate 1.2500
| end of split   1 /  1 | epoch 113 | time:  0.55s | valid loss  1.62 | valid ppl     5.07 | learning rate 1.2500
| end of split   1 /  1 | epoch 114 | time:  0.55s | valid loss  1.63 | valid ppl     5.11 | learning rate 1.2500
| end of split   1 /  1 | epoch 115 | time:  0.55s | valid loss  1.62 | valid ppl     5.08 | learning rate 1.2500
| end of split   1 /  1 | epoch 116 | time:  0.74s | valid loss  1.63 | valid ppl     5.09 | learning rate 1.2500
| end of split   1 /  1 | epoch 117 | time:  0.59s | valid loss  1.62 | valid ppl     5.07 | learning rate 1.2500
| end of split   1 /  1 | epoch 118 | time:  0.79s | valid loss  1.62 | valid ppl     5.06 | learning rate 1.2500
| end of split   1 /  1 | epoch 119 | time:  0.70s | valid loss  1.62 | valid ppl     5.05 | learning rate 1.2500
| end of split   1 /  1 | epoch 120 | time:  0.55s | valid loss  1.64 | valid ppl     5.15 | learning rate 1.2500
| end of split   1 /  1 | epoch 121 | time:  0.54s | valid loss  1.64 | valid ppl     5.16 | learning rate 1.2500
| end of split   1 /  1 | epoch 122 | time:  0.55s | valid loss  1.64 | valid ppl     5.17 | learning rate 1.2500
| end of split   1 /  1 | epoch 123 | time:  0.55s | valid loss  1.63 | valid ppl     5.09 | learning rate 1.2500
| end of split   1 /  1 | epoch 124 | time:  0.71s | valid loss  1.62 | valid ppl     5.04 | learning rate 1.2500
| end of split   1 /  1 | epoch 125 | time:  0.65s | valid loss  1.63 | valid ppl     5.11 | learning rate 1.2500
| end of split   1 /  1 | epoch 126 | time:  0.60s | valid loss  1.63 | valid ppl     5.09 | learning rate 1.2500
| end of split   1 /  1 | epoch 127 | time:  0.73s | valid loss  1.63 | valid ppl     5.08 | learning rate 1.2500
| end of split   1 /  1 | epoch 128 | time:  0.60s | valid loss  1.63 | valid ppl     5.11 | learning rate 1.2500
| end of split   1 /  1 | epoch 129 | time:  0.60s | valid loss  1.64 | valid ppl     5.18 | learning rate 1.2500
| end of split   1 /  1 | epoch 130 | time:  0.55s | valid loss  1.64 | valid ppl     5.17 | learning rate 1.2500
| end of split   1 /  1 | epoch 131 | time:  0.55s | valid loss  1.64 | valid ppl     5.15 | learning rate 1.2500
| end of split   1 /  1 | epoch 132 | time:  0.54s | valid loss  1.64 | valid ppl     5.14 | learning rate 1.2500
| end of split   1 /  1 | epoch 133 | time:  0.55s | valid loss  1.64 | valid ppl     5.16 | learning rate 1.2500
| end of split   1 /  1 | epoch 134 | time:  0.60s | valid loss  1.64 | valid ppl     5.16 | learning rate 1.2500
| end of split   1 /  1 | epoch 135 | time:  0.57s | valid loss  1.63 | valid ppl     5.12 | learning rate 1.2500
| end of split   1 /  1 | epoch 136 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.3125
| end of split   1 /  1 | epoch 137 | time:  0.60s | valid loss  1.63 | valid ppl     5.13 | learning rate 0.3125
| end of split   1 /  1 | epoch 138 | time:  0.59s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.3125
| end of split   1 /  1 | epoch 139 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.3125
| end of split   1 /  1 | epoch 140 | time:  0.55s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.3125
| end of split   1 /  1 | epoch 141 | time:  0.61s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.3125
| end of split   1 /  1 | epoch 142 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.3125
| end of split   1 /  1 | epoch 143 | time:  0.55s | valid loss  1.63 | valid ppl     5.12 | learning rate 0.3125
| end of split   1 /  1 | epoch 144 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.3125
| end of split   1 /  1 | epoch 145 | time:  0.54s | valid loss  1.64 | valid ppl     5.15 | learning rate 0.3125
| end of split   1 /  1 | epoch 146 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.3125
| end of split   1 /  1 | epoch 147 | time:  0.54s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 148 | time:  0.54s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 149 | time:  0.55s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 150 | time:  0.55s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 151 | time:  0.55s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 152 | time:  0.55s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 153 | time:  0.54s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 154 | time:  0.55s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 155 | time:  0.54s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 156 | time:  0.54s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 157 | time:  0.65s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0781
| end of split   1 /  1 | epoch 158 | time:  0.65s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0195
| end of split   1 /  1 | epoch 159 | time:  0.65s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0195
| end of split   1 /  1 | epoch 160 | time:  0.60s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0195
| end of split   1 /  1 | epoch 161 | time:  0.55s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0195
| end of split   1 /  1 | epoch 162 | time:  0.60s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0195
| end of split   1 /  1 | epoch 163 | time:  0.60s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0195
| end of split   1 /  1 | epoch 164 | time:  0.60s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0195
| end of split   1 /  1 | epoch 165 | time:  0.58s | valid loss  1.64 | valid ppl     5.14 | learning rate 0.0195
| end of split   1 /  1 | epoch 166 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0195
| end of split   1 /  1 | epoch 167 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0195
| end of split   1 /  1 | epoch 168 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0195
| end of split   1 /  1 | epoch 169 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
| end of split   1 /  1 | epoch 170 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
| end of split   1 /  1 | epoch 171 | time:  0.56s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
| end of split   1 /  1 | epoch 172 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
| end of split   1 /  1 | epoch 173 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
| end of split   1 /  1 | epoch 174 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
| end of split   1 /  1 | epoch 175 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
| end of split   1 /  1 | epoch 176 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
| end of split   1 /  1 | epoch 177 | time:  0.54s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
| end of split   1 /  1 | epoch 178 | time:  0.55s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
| end of split   1 /  1 | epoch 179 | time:  0.65s | valid loss  1.64 | valid ppl     5.13 | learning rate 0.0049
