| end of split   1 /  1 | epoch  87 | time:  0.74s | valid loss  1.73 | valid ppl     5.65 | learning rate 1.2500
| end of split   1 /  1 | epoch  88 | time:  0.60s | valid loss  1.73 | valid ppl     5.65 | learning rate 1.2500
| end of split   1 /  1 | epoch  89 | time:  0.60s | valid loss  1.73 | valid ppl     5.64 | learning rate 1.2500
| end of split   1 /  1 | epoch  90 | time:  0.60s | valid loss  1.74 | valid ppl     5.67 | learning rate 1.2500
| end of split   1 /  1 | epoch  91 | time:  0.80s | valid loss  1.72 | valid ppl     5.60 | learning rate 1.2500
| end of split   1 /  1 | epoch  92 | time:  0.60s | valid loss  1.75 | valid ppl     5.75 | learning rate 1.2500
| end of split   1 /  1 | epoch  93 | time:  0.60s | valid loss  1.73 | valid ppl     5.62 | learning rate 1.2500
| end of split   1 /  1 | epoch  94 | time:  0.59s | valid loss  1.73 | valid ppl     5.62 | learning rate 1.2500
| end of split   1 /  1 | epoch  95 | time:  0.77s | valid loss  1.72 | valid ppl     5.58 | learning rate 1.2500
| end of split   1 /  1 | epoch  96 | time:  0.60s | valid loss  1.73 | valid ppl     5.62 | learning rate 1.2500
| end of split   1 /  1 | epoch  97 | time:  0.55s | valid loss  1.73 | valid ppl     5.63 | learning rate 1.2500
| end of split   1 /  1 | epoch  98 | time:  0.75s | valid loss  1.71 | valid ppl     5.56 | learning rate 1.2500
| end of split   1 /  1 | epoch  99 | time:  0.55s | valid loss  1.72 | valid ppl     5.56 | learning rate 1.2500
| end of split   1 /  1 | epoch 100 | time:  0.55s | valid loss  1.72 | valid ppl     5.57 | learning rate 1.2500
| end of split   1 /  1 | epoch 101 | time:  0.55s | valid loss  1.72 | valid ppl     5.59 | learning rate 1.2500
| end of split   1 /  1 | epoch 102 | time:  0.55s | valid loss  1.72 | valid ppl     5.58 | learning rate 1.2500
| end of split   1 /  1 | epoch 103 | time:  0.53s | valid loss  1.72 | valid ppl     5.58 | learning rate 1.2500
| end of split   1 /  1 | epoch 104 | time:  0.59s | valid loss  1.73 | valid ppl     5.63 | learning rate 1.2500
| end of split   1 /  1 | epoch 105 | time:  0.60s | valid loss  1.73 | valid ppl     5.62 | learning rate 1.2500
| end of split   1 /  1 | epoch 106 | time:  0.77s | valid loss  1.71 | valid ppl     5.51 | learning rate 1.2500
| end of split   1 /  1 | epoch 107 | time:  0.55s | valid loss  1.72 | valid ppl     5.56 | learning rate 1.2500
| end of split   1 /  1 | epoch 108 | time:  0.55s | valid loss  1.71 | valid ppl     5.52 | learning rate 1.2500
| end of split   1 /  1 | epoch 109 | time:  0.65s | valid loss  1.72 | valid ppl     5.58 | learning rate 1.2500
| end of split   1 /  1 | epoch 110 | time:  0.60s | valid loss  1.73 | valid ppl     5.64 | learning rate 1.2500
| end of split   1 /  1 | epoch 111 | time:  0.60s | valid loss  1.72 | valid ppl     5.56 | learning rate 1.2500
| end of split   1 /  1 | epoch 112 | time:  0.60s | valid loss  1.72 | valid ppl     5.58 | learning rate 1.2500
| end of split   1 /  1 | epoch 113 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 1.2500
| end of split   1 /  1 | epoch 114 | time:  0.76s | valid loss  1.70 | valid ppl     5.47 | learning rate 1.2500
| end of split   1 /  1 | epoch 115 | time:  0.60s | valid loss  1.72 | valid ppl     5.60 | learning rate 1.2500
| end of split   1 /  1 | epoch 116 | time:  0.60s | valid loss  1.71 | valid ppl     5.55 | learning rate 1.2500
| end of split   1 /  1 | epoch 117 | time:  0.55s | valid loss  1.71 | valid ppl     5.55 | learning rate 1.2500
| end of split   1 /  1 | epoch 118 | time:  0.54s | valid loss  1.73 | valid ppl     5.63 | learning rate 1.2500
| end of split   1 /  1 | epoch 119 | time:  0.55s | valid loss  1.73 | valid ppl     5.64 | learning rate 1.2500
| end of split   1 /  1 | epoch 120 | time:  0.54s | valid loss  1.72 | valid ppl     5.61 | learning rate 1.2500
| end of split   1 /  1 | epoch 121 | time:  0.55s | valid loss  1.72 | valid ppl     5.59 | learning rate 1.2500
| end of split   1 /  1 | epoch 122 | time:  0.55s | valid loss  1.73 | valid ppl     5.65 | learning rate 1.2500
| end of split   1 /  1 | epoch 123 | time:  0.67s | valid loss  1.74 | valid ppl     5.67 | learning rate 1.2500
| end of split   1 /  1 | epoch 124 | time:  0.65s | valid loss  1.72 | valid ppl     5.58 | learning rate 1.2500
| end of split   1 /  1 | epoch 125 | time:  0.60s | valid loss  1.72 | valid ppl     5.56 | learning rate 1.2500
| end of split   1 /  1 | epoch 126 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.3125
| end of split   1 /  1 | epoch 127 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.3125
| end of split   1 /  1 | epoch 128 | time:  0.60s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.3125
| end of split   1 /  1 | epoch 129 | time:  0.60s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.3125
| end of split   1 /  1 | epoch 130 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.3125
| end of split   1 /  1 | epoch 131 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.3125
| end of split   1 /  1 | epoch 132 | time:  0.65s | valid loss  1.71 | valid ppl     5.53 | learning rate 0.3125
| end of split   1 /  1 | epoch 133 | time:  0.55s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.3125
| end of split   1 /  1 | epoch 134 | time:  0.55s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.3125
| end of split   1 /  1 | epoch 135 | time:  0.55s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.3125
| end of split   1 /  1 | epoch 136 | time:  0.54s | valid loss  1.72 | valid ppl     5.56 | learning rate 0.3125
| end of split   1 /  1 | epoch 137 | time:  0.54s | valid loss  1.72 | valid ppl     5.56 | learning rate 0.0781
| end of split   1 /  1 | epoch 138 | time:  0.54s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0781
| end of split   1 /  1 | epoch 139 | time:  0.60s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0781
| end of split   1 /  1 | epoch 140 | time:  0.60s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0781
| end of split   1 /  1 | epoch 141 | time:  0.61s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0781
| end of split   1 /  1 | epoch 142 | time:  0.60s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0781
| end of split   1 /  1 | epoch 143 | time:  0.60s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0781
| end of split   1 /  1 | epoch 144 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0781
| end of split   1 /  1 | epoch 145 | time:  0.65s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0781
| end of split   1 /  1 | epoch 146 | time:  0.65s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0781
| end of split   1 /  1 | epoch 147 | time:  0.54s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0781
| end of split   1 /  1 | epoch 148 | time:  0.54s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0195
| end of split   1 /  1 | epoch 149 | time:  0.55s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0195
| end of split   1 /  1 | epoch 150 | time:  0.55s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0195
| end of split   1 /  1 | epoch 151 | time:  0.55s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0195
| end of split   1 /  1 | epoch 152 | time:  0.55s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0195
| end of split   1 /  1 | epoch 153 | time:  0.55s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0195
| end of split   1 /  1 | epoch 154 | time:  0.56s | valid loss  1.71 | valid ppl     5.55 | learning rate 0.0195
