EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
62	18:01:05	3	0.0625	0.8657440907002623	0.7565	0.7565	0.7565	0.7565	0.8281946778297424	0.716	0.716	0.716	0.716	0.7749800682067871	0.7301	0.7301	0.7301	0.7301
63	18:01:10	4	0.0625	0.8760960481972841	0.7586	0.7586	0.7586	0.7586	0.829803466796875	0.7018	0.7018	0.7018	0.7018	0.7666705250740051	0.7344	0.7344	0.7344	0.7344
64	18:01:14	1	0.0312	0.8577220583074764	0.7617	0.7617	0.7617	0.7617	0.8266342878341675	0.7189	0.7189	0.7189	0.7189	0.7748926281929016	0.7323	0.7323	0.7323	0.7323
65	18:01:19	0	0.0312	0.8441741366194777	0.7642	0.7642	0.7642	0.7642	0.8084152340888977	0.7369	0.7369	0.7369	0.7369	0.7584065794944763	0.7484	0.7484	0.7484	0.7484
66	18:01:33	0	0.0312	0.8548352902099032	0.7664	0.7664	0.7664	0.7664	0.810259222984314	0.7407	0.7407	0.7407	0.7407	0.7627050280570984	0.7441	0.7441	0.7441	0.7441
67	18:01:45	0	0.0312	0.8592044785231281	0.7689	0.7689	0.7689	0.7689	0.8070026636123657	0.7417	0.7417	0.7417	0.7417	0.7566455006599426	0.7495	0.7495	0.7495	0.7495
68	18:01:55	1	0.0312	0.8401124074949441	0.7676	0.7676	0.7676	0.7676	0.8023488521575928	0.7369	0.7369	0.7369	0.7369	0.7541437745094299	0.7495	0.7495	0.7495	0.7495
69	18:02:00	0	0.0312	0.8364124271041112	0.7707	0.7707	0.7707	0.7707	0.8009588122367859	0.7483	0.7483	0.7483	0.7483	0.7547084093093872	0.7613	0.7613	0.7613	0.7613
70	18:02:10	1	0.0312	0.831530644482191	0.771	0.771	0.771	0.771	0.7961230874061584	0.7369	0.7369	0.7369	0.7369	0.7442625761032104	0.7462	0.7462	0.7462	0.7462
71	18:02:14	0	0.0312	0.8357766027428016	0.7748	0.7748	0.7748	0.7748	0.7910560369491577	0.7483	0.7483	0.7483	0.7483	0.737797200679779	0.7602	0.7602	0.7602	0.7602
